feature,permutation_importance,directional_effect
sentiment_score,6.284657865762711e-06,6.284657865762711e-06
following_count,-4.535727202892303e-06,4.535727202892303e-06
subjectivity_score,3.7391670048236848e-06,3.7391670048236848e-06
toxicity_subjectivity_interaction,-2.7982518076896667e-06,2.7982518076896667e-06
total_engagement,-2.7812086045742037e-06,2.7812086045742037e-06
share_comment_ratio,-1.1125579476356506e-06,1.1125579476356506e-06
topic,1.0964460670948028e-06,1.0964460670948028e-06
shares,-9.120441973209381e-07,9.120441973209381e-07
stance_label,3.25031578540802e-07,3.25031578540802e-07
day,2.8023496270179746e-07,2.8023496270179746e-07
emotion,2.48197466135025e-07,2.48197466135025e-07
reach_estimate,-2.4028122425079346e-07,2.4028122425079346e-07
claim_type,1.6512349247932435e-07,1.6512349247932435e-07
source_type,-1.4696270227432252e-07,1.4696270227432252e-07
platform,1.3830140233039856e-07,1.3830140233039856e-07
crisis_phase,2.7939677238464355e-08,2.7939677238464355e-08
language,0.0,0.0
sentiment_label,0.0,0.0
verified_flag,0.0,0.0
log_followers,0.0,0.0
log_impressions,0.0,0.0
year,0.0,0.0
region,0.0,0.0
follower_following_ratio,4.479661583900452e-08,-4.479661583900452e-08
likes,6.230548024177552e-08,-6.230548024177552e-08
is_share,-2.0917505025863647e-07,-2.0917505025863647e-07
cascade_depth,-2.605840563774109e-07,-2.605840563774109e-07
month,-3.886409103870392e-07,-3.886409103870392e-07
follower_count,6.251968443393707e-07,-6.251968443393707e-07
account_age_days,-6.744638085365296e-07,-6.744638085365296e-07
audience_size,6.748363375663758e-07,-6.748363375663758e-07
toxicity_score,7.982365787029267e-07,-7.982365787029267e-07
engagement_velocity,9.912997484207154e-07,-9.912997484207154e-07
comment_rate,1.4555640518665315e-06,-1.4555640518665315e-06
impressions_estimate,1.6773119568824768e-06,-1.6773119568824768e-06
reach_rate,2.3776665329933167e-06,-2.3776665329933167e-06
like_rate,-2.4099834263324736e-06,-2.4099834263324736e-06
comments,3.1035393476486207e-06,-3.1035393476486207e-06
share_rate,3.790576010942459e-06,-3.790576010942459e-06
uncertainty_index,7.918663322925568e-06,-7.918663322925568e-06
misinformation_probability,0.14145945301279425,-0.14145945301279425
risk_minus_credibility,0.3091173260472715,-0.3091173260472715
