feature,permutation_importance,directional_effect
sentiment_score,3.891577944159508e-06,3.891577944159508e-06
subjectivity_score,2.863723784685135e-06,2.863723784685135e-06
topic,2.826238051056862e-06,2.826238051056862e-06
toxicity_subjectivity_interaction,-1.2689270079135895e-06,1.2689270079135895e-06
reach_estimate,-1.2460630387067795e-06,1.2460630387067795e-06
audience_size,-1.2024305760860442e-06,1.2024305760860442e-06
stance_label,8.563045412302018e-07,8.563045412302018e-07
day,5.038920789957046e-07,5.038920789957046e-07
share_rate,-3.341585397720337e-07,3.341585397720337e-07
shares,-2.8186477720737455e-07,2.8186477720737455e-07
emotion,2.490822225809097e-07,2.490822225809097e-07
claim_type,1.5273690223693848e-07,1.5273690223693848e-07
source_type,-1.4812685549259187e-07,1.4812685549259187e-07
engagement_velocity,-6.617046892642975e-08,6.617046892642975e-08
sentiment_label,0.0,0.0
year,0.0,0.0
log_followers,0.0,0.0
log_impressions,0.0,0.0
language,0.0,0.0
region,0.0,0.0
verified_flag,0.0,0.0
crisis_phase,-6.640329957008362e-08,-6.640329957008362e-08
is_share,-9.918585419654846e-08,-9.918585419654846e-08
month,-1.3438984751701356e-07,-1.3438984751701356e-07
reach_rate,2.553220838308334e-07,-2.553220838308334e-07
follower_following_ratio,2.7883797883987425e-07,-2.7883797883987425e-07
like_rate,-5.283392965793609e-07,-5.283392965793609e-07
share_comment_ratio,6.200280040502548e-07,-6.200280040502548e-07
platform,-7.041729986667633e-07,-7.041729986667633e-07
impressions_estimate,7.119961082935333e-07,-7.119961082935333e-07
likes,7.378403097391129e-07,-7.378403097391129e-07
toxicity_score,7.890630513429642e-07,-7.890630513429642e-07
account_age_days,-8.28038901090622e-07,-8.28038901090622e-07
cascade_depth,-9.550247341394425e-07,-9.550247341394425e-07
total_engagement,1.1150725185871124e-06,-1.1150725185871124e-06
following_count,1.8766149878501892e-06,-1.8766149878501892e-06
follower_count,2.375105395913124e-06,-2.375105395913124e-06
comments,2.4903099983930586e-06,-2.4903099983930586e-06
comment_rate,3.1867530196905136e-06,-3.1867530196905136e-06
uncertainty_index,7.814867421984672e-06,-7.814867421984672e-06
misinformation_probability,0.1452800115570426,-0.1452800115570426
risk_minus_credibility,0.31439154651016,-0.31439154651016
