feature,permutation_importance,directional_effect
risk_minus_credibility,0.34169859839603306,0.34169859839603306
uncertainty_index,0.00014841165393590926,0.00014841165393590926
likes,-3.967713564634323e-06,3.967713564634323e-06
topic,-3.107637166976929e-06,3.107637166976929e-06
audience_size,-2.7286820113658906e-06,2.7286820113658906e-06
follower_following_ratio,-1.9585713744163513e-06,1.9585713744163513e-06
month,-1.3873446732759477e-06,1.3873446732759477e-06
comment_rate,1.068785786628723e-06,1.068785786628723e-06
account_age_days,-9.484123438596726e-07,9.484123438596726e-07
comments,-8.75815749168396e-07,8.75815749168396e-07
is_share,-4.3278560042381286e-07,4.3278560042381286e-07
following_count,1.7201527953147887e-07,1.7201527953147887e-07
platform,-1.5548430383205413e-07,1.5548430383205413e-07
stance_label,9.252689778804779e-08,9.252689778804779e-08
log_impressions,0.0,-0.0
verified_flag,0.0,0.0
language,0.0,0.0
year,0.0,0.0
region,0.0,0.0
log_followers,0.0,-0.0
sentiment_label,3.4784898161888124e-08,-3.4784898161888124e-08
claim_type,7.57165253162384e-08,-7.57165253162384e-08
reach_estimate,-8.093193173408509e-08,-8.093193173408509e-08
day,9.508803486824035e-08,-9.508803486824035e-08
source_type,-2.200249582529068e-07,-2.200249582529068e-07
crisis_phase,2.3134052753448487e-07,-2.3134052753448487e-07
share_rate,-2.353917807340622e-07,-2.353917807340622e-07
follower_count,3.023538738489151e-07,-3.023538738489151e-07
reach_rate,3.1152740120887756e-07,-3.1152740120887756e-07
impressions_estimate,-3.5441480576992036e-07,-3.5441480576992036e-07
emotion,5.402602255344391e-07,-5.402602255344391e-07
cascade_depth,-6.495509296655655e-07,-6.495509296655655e-07
toxicity_subjectivity_interaction,-9.168405085802079e-07,-9.168405085802079e-07
share_comment_ratio,-2.0857900381088256e-06,-2.0857900381088256e-06
shares,-2.6810914278030397e-06,-2.6810914278030397e-06
total_engagement,-2.974085509777069e-06,-2.974085509777069e-06
toxicity_score,-3.325566649436951e-06,-3.325566649436951e-06
sentiment_score,3.725290298461914e-06,-3.725290298461914e-06
engagement_velocity,5.319667980074882e-06,-5.319667980074882e-06
like_rate,5.444651469588279e-06,-5.444651469588279e-06
subjectivity_score,-8.658412843942642e-06,-8.658412843942642e-06
credibility_score,0.15055286241695284,-0.15055286241695284
