follower_count,following_count,account_age_days,verified_flag,source_type,user_id
5193,1712,2365,0,User,1
1735,132,345,0,News Outlet,2
2933,2015,2431,0,User,3
891,59,882,0,Bot,4
4445,1117,2314,0,User,5
5113,646,473,0,User,6
2913,1305,396,0,News Outlet,7
324,1778,2906,0,User,8
301,1076,1454,0,User,9
2437,1569,688,0,User,10
2371,99,1751,0,News Outlet,11
1104,2043,302,0,User,12
642,525,1030,0,User,13
2804,1341,1000,0,User,14
398,677,1900,0,User,15
721,119,936,0,User,16
6919,739,376,0,User,17
182,482,2553,0,User,18
225,1025,1642,0,Influencer,19
2067,1031,512,0,Bot,20
2527,49,1029,0,Bot,21
80,337,531,0,Bot,22
4614,287,1107,0,User,23
1453,1241,1000,0,Influencer,24
510,127,3586,0,Influencer,25
1259,141,406,0,Influencer,26
2892,921,183,0,Influencer,27
1274,247,3818,0,User,28
2541,916,359,0,User,29
1240,1239,1289,0,User,30
4340,952,1849,0,User,31
3153,1384,2549,0,User,32
4859,159,572,0,User,33
632,782,247,0,Bot,34
492,1031,2860,0,User,35
1407,813,1855,0,User,36
426,152,1512,0,User,37
1353,200,33,0,Bot,38
1419,641,2265,0,User,39
4271,1338,1714,0,Bot,40
556,429,1696,0,User,41
5690,1503,1943,0,News Outlet,42
2646,1257,1970,0,User,43
1723,756,2041,0,User,44
6795,742,1238,0,Influencer,45
1315,1260,765,0,User,46
1901,528,723,0,Influencer,47
1019,311,2092,0,Influencer,48
2555,2151,3315,0,User,49
1936,556,803,0,Bot,50
142,1167,377,0,User,51
929,90,1547,0,Bot,52
4237,426,1621,0,User,53
1860,1898,2169,0,User,54
1915,462,564,0,User,55
1882,964,1312,0,User,56
4685,438,4065,0,User,57
519,563,446,0,Bot,58
2015,1138,1773,0,User,59
898,308,613,0,User,60
150,521,352,0,User,61
230,1412,1271,0,User,62
5430,293,1539,0,News Outlet,63
2398,1404,381,0,User,64
186,1453,325,0,User,65
601,1132,400,0,Influencer,66
624,442,1096,0,User,67
2188,169,1270,0,User,68
1247,43,348,0,News Outlet,69
2371,664,2212,0,User,70
691,116,374,0,User,71
47,625,529,0,Influencer,72
3447,206,1792,0,User,73
298,342,2003,0,User,74
2977,228,26,0,User,75
4141,969,539,0,User,76
96,638,45,0,User,77
2289,1011,3194,0,User,78
1342,824,1668,0,User,79
1082,337,2058,0,User,80
1027,1526,455,0,User,81
550,657,1001,0,User,82
481,1199,1403,0,User,83
383,629,2351,0,User,84
4690,1026,757,0,News Outlet,85
1372,746,530,0,Bot,86
4249,1287,1551,0,User,87
5967,2047,1336,0,User,88
3376,379,30,0,Bot,89
5265,251,1179,0,Bot,90
744,30,414,0,User,91
2364,705,920,0,User,92
2143,275,1056,0,User,93
320,1706,3074,0,User,94
2216,226,580,0,User,95
2395,1158,825,0,User,96
1207,987,760,0,User,97
759,562,845,0,Influencer,98
1520,485,2462,0,News Outlet,99
1163,368,1537,0,User,100
943,660,1523,0,User,101
2193,343,868,0,User,102
3780,24,388,0,User,103
589,1720,2125,0,User,104
219,15,657,0,Bot,105
464,287,388,0,User,106
121,980,2038,0,User,107
299,1631,1431,0,User,108
588,350,511,0,User,109
346,467,1081,0,User,110
4342,49,381,0,User,111
999,686,366,0,User,112
2339,347,1357,0,Influencer,113
2938,516,1864,0,User,114
4272,439,891,0,Influencer,115
2574,1808,926,0,Influencer,116
3872,765,999,0,User,117
863,393,671,0,User,118
2547,113,1275,0,User,119
849,310,163,0,Influencer,120
2958,1018,584,0,News Outlet,121
1014,604,558,0,User,122
3493,1399,2358,0,Influencer,123
4043,24,1266,0,User,124
2734,1456,1561,0,Influencer,125
2544,2318,1885,0,Bot,126
1893,284,66,0,User,127
833,541,2235,0,Influencer,128
3490,597,666,0,User,129
5663,51,491,0,Influencer,130
1663,550,156,0,User,131
1974,335,1890,0,Influencer,132
4933,1255,869,0,User,133
3396,349,1011,0,User,134
3464,689,445,0,User,135
1390,678,1154,0,User,136
3053,626,1469,0,User,137
1104,757,2191,0,User,138
2613,1583,367,0,User,139
1647,890,516,0,User,140
563,29,3123,0,User,141
3163,713,53,0,User,142
2867,367,2062,0,User,143
2258,585,730,0,User,144
3325,1686,2827,0,User,145
1368,69,420,0,Influencer,146
2559,1449,641,0,User,147
1375,842,796,0,User,148
2517,186,257,0,User,149
2194,529,906,0,User,150
831,692,621,0,User,151
1734,1064,552,0,User,152
797,1110,1267,0,User,153
1662,431,358,0,User,154
3325,736,2980,0,User,155
1293,1076,713,0,Influencer,156
3795,113,1156,0,User,157
1069,304,2893,0,News Outlet,158
577,625,102,0,User,159
2636,829,1777,0,News Outlet,160
4252,1652,3663,0,Bot,161
246,652,198,0,Bot,162
615,398,120,0,User,163
2106,1514,1099,0,News Outlet,164
2628,694,106,0,User,165
1235,109,2123,0,User,166
2731,316,1084,0,User,167
2345,850,629,0,Influencer,168
1138,306,2090,0,Bot,169
420,1416,2452,0,User,170
1023,329,185,0,News Outlet,171
3884,1616,1150,0,User,172
142,2601,960,0,User,173
2664,1019,1512,0,User,174
2249,314,842,0,Influencer,175
1043,813,1491,0,Bot,176
5149,769,897,0,Influencer,177
3070,466,1449,0,User,178
2380,377,3021,0,User,179
1007,112,808,0,User,180
1097,929,1758,0,Bot,181
545,2694,493,0,Influencer,182
70,866,3694,0,User,183
292,1462,46,0,User,184
3723,1699,382,0,Bot,185
336,1459,555,0,Influencer,186
5069,1002,1232,0,User,187
822,463,1324,0,User,188
785,1179,671,0,User,189
2115,1288,781,0,User,190
1735,1074,3350,0,User,191
943,91,4385,0,User,192
159,193,1710,0,User,193
365,562,804,0,User,194
4962,17,439,0,News Outlet,195
892,460,917,0,User,196
1515,427,343,0,Bot,197
6004,535,1292,0,Bot,198
1510,260,1256,0,Influencer,199
5679,298,465,0,Influencer,200
3343,1146,1214,0,User,201
3854,449,787,0,User,202
576,893,1950,0,Influencer,203
632,529,711,0,Influencer,204
135,1569,1703,0,User,205
3931,561,9,0,User,206
223,1086,1147,0,User,207
3160,836,989,0,News Outlet,208
548,1266,2119,0,News Outlet,209
553,1037,1290,0,User,210
2611,1547,112,0,User,211
3172,612,804,0,User,212
3,3,356,0,News Outlet,213
1312,1004,795,0,User,214
2539,1127,666,0,Influencer,215
2177,791,1826,0,User,216
142,610,1036,0,User,217
850,129,695,0,Influencer,218
2463,328,81,0,User,219
288,1727,1307,0,User,220
3643,1072,256,0,Influencer,221
6372,63,2479,0,User,222
1890,1213,2742,0,User,223
1840,2219,1159,0,Bot,224
2274,393,583,0,User,225
2836,887,898,0,User,226
3125,1556,472,0,User,227
2059,283,3184,0,User,228
491,761,1428,0,User,229
2862,976,270,0,Influencer,230
706,601,1469,0,User,231
1246,494,1109,0,User,232
184,410,380,0,User,233
3988,52,1641,0,Bot,234
3029,57,19,0,User,235
87,1047,135,0,User,236
2724,886,1808,0,Bot,237
3896,1917,449,0,News Outlet,238
3021,1082,505,0,User,239
746,1157,2055,0,User,240
5402,904,3,0,News Outlet,241
372,239,2425,0,User,242
3484,1112,1930,0,News Outlet,243
1161,904,288,0,Influencer,244
5218,1019,453,0,User,245
1908,1822,754,0,User,246
782,932,337,0,User,247
1950,1497,2818,0,User,248
981,1611,123,0,News Outlet,249
469,246,1434,0,User,250
1280,1480,222,0,User,251
4853,246,1709,0,Bot,252
1605,19,296,0,User,253
321,1677,925,0,User,254
1795,238,162,0,Influencer,255
4550,657,541,0,User,256
226,1053,1228,0,User,257
7448,258,783,0,Influencer,258
4947,1792,1268,0,User,259
4210,43,1118,0,User,260
4183,1493,1039,0,Bot,261
4745,1536,1634,0,User,262
1831,925,522,0,User,263
1405,891,486,0,News Outlet,264
2976,1653,1062,0,User,265
1099,656,1165,0,User,266
4764,203,611,0,User,267
2494,1156,850,0,User,268
1771,280,78,0,User,269
2246,726,1268,0,User,270
4048,983,151,0,Influencer,271
4688,592,82,0,User,272
4314,2030,729,0,User,273
3915,406,652,0,User,274
310,143,690,0,User,275
867,368,2597,0,Bot,276
1533,545,1907,0,User,277
4576,422,48,0,User,278
3984,44,759,0,User,279
165,1895,2300,0,User,280
474,1602,469,0,User,281
2980,125,102,0,User,282
4028,463,2180,0,User,283
2180,1616,2019,0,Bot,284
2310,1029,323,0,User,285
696,279,2211,0,User,286
1175,21,992,0,User,287
