Social Network Analysis
=======================
Nodes: 50,000
Edges: 10,879
Connected components: 39,122
Largest cascade size: 22

Most influential nodes by centrality:
  node  degree_centrality  betweenness_centrality  closeness_centrality
 228.0            0.00012                     0.0              0.000020
 240.0            0.00012                     0.0              0.000020
  26.0            0.00010                     0.0              0.000000
  32.0            0.00010                     0.0              0.000000
  50.0            0.00010                     0.0              0.000000
  59.0            0.00010                     0.0              0.000000
  60.0            0.00010                     0.0              0.000000
 133.0            0.00010                     0.0              0.000000
 145.0            0.00010                     0.0              0.000020
 182.0            0.00010                     0.0              0.000030
 219.0            0.00010                     0.0              0.000000
 221.0            0.00010                     0.0              0.000000
 623.0            0.00010                     0.0              0.000020
 884.0            0.00010                     0.0              0.000000
1643.0            0.00010                     0.0              0.000027
1729.0            0.00010                     0.0              0.000020
2502.0            0.00010                     0.0              0.000027
2730.0            0.00010                     0.0              0.000000
3388.0            0.00010                     0.0              0.000027
3402.0            0.00010                     0.0              0.000000
