feature,permutation_importance,directional_effect
stance_label,2.98750721362288e-05,2.98750721362288e-05
sentiment_score,2.8706658094269227e-05,2.8706658094269227e-05
crisis_phase,2.238878829230115e-05,2.238878829230115e-05
source_type,-1.8067193237466564e-05,1.8067193237466564e-05
log_followers,9.85461789436929e-06,9.85461789436929e-06
claim_type,6.4019095615954615e-06,6.4019095615954615e-06
topic,3.5642351148713197e-06,3.5642351148713197e-06
emotion,3.0278716338627206e-06,3.0278716338627206e-06
shares,-2.9326552019169618e-06,2.9326552019169618e-06
like_rate,2.820243891785666e-06,2.820243891785666e-06
toxicity_subjectivity_interaction,-1.9824030182696504e-06,1.9824030182696504e-06
month,1.740747266633716e-06,1.740747266633716e-06
toxicity_score,-1.3374696689185534e-06,1.3374696689185534e-06
subjectivity_score,1.1472635059631837e-06,1.1472635059631837e-06
sentiment_label,7.87431853853035e-07,7.87431853853035e-07
is_share,6.233403244746208e-07,6.233403244746208e-07
language,0.0,0.0
region,0.0,0.0
verified_flag,0.0,0.0
year,0.0,0.0
platform,-1.2552187997703218e-06,-1.2552187997703218e-06
day,-2.1527124851655408e-06,-2.1527124851655408e-06
share_comment_ratio,2.4553280899470427e-06,-2.4553280899470427e-06
cascade_depth,-2.871016377533654e-06,-2.871016377533654e-06
log_impressions,-4.010685689995533e-06,-4.010685689995533e-06
reach_rate,5.645676161712861e-06,-5.645676161712861e-06
follower_count,6.157119054609958e-06,-6.157119054609958e-06
follower_following_ratio,7.965741589704805e-06,-7.965741589704805e-06
likes,8.19366963675499e-06,-8.19366963675499e-06
comments,9.33354184989004e-06,-9.33354184989004e-06
share_rate,1.3160896478392644e-05,-1.3160896478392644e-05
impressions_estimate,1.3211120808673608e-05,-1.3211120808673608e-05
engagement_velocity,1.4342161772734618e-05,-1.4342161772734618e-05
account_age_days,-1.4493134239895213e-05,-1.4493134239895213e-05
following_count,1.4812109931657339e-05,-1.4812109931657339e-05
reach_estimate,1.5812559576895874e-05,-1.5812559576895874e-05
comment_rate,2.168807721325116e-05,-2.168807721325116e-05
total_engagement,2.624479165856987e-05,-2.624479165856987e-05
audience_size,2.892323013807853e-05,-2.892323013807853e-05
uncertainty_index,0.002033890411073666,-0.002033890411073666
misinformation_probability,0.14192331133297625,-0.14192331133297625
risk_minus_credibility,0.31127566068922063,-0.31127566068922063
