feature,permutation_importance,directional_effect
total_engagement,5.839067882635197,5.839067882635197
likes,0.5078342613452946,0.5078342613452946
share_rate,0.12950628630312622,0.12950628630312622
follower_following_ratio,-0.1273559976393699,0.1273559976393699
sentiment_score,0.1152631904820737,0.1152631904820737
cascade_depth,0.10728037147632677,0.10728037147632677
comment_rate,-0.08288891089864592,0.08288891089864592
follower_count,-0.078078685562798,0.078078685562798
risk_minus_credibility,-0.04376413671435557,0.04376413671435557
shares,0.032320088334995487,0.032320088334995487
reach_rate,-0.03127270208671007,0.03127270208671007
audience_size,-0.02397942193858853,0.02397942193858853
stance_label,-0.02033752504358972,0.02033752504358972
crisis_phase,0.018404710082052134,0.018404710082052134
misinformation_probability,-0.015463749257514791,0.015463749257514791
toxicity_score,-0.010703742082353074,0.010703742082353074
log_impressions,-0.010258070953602783,0.010258070953602783
topic,-0.0055159019973643805,0.0055159019973643805
emotion,0.003443554130171833,0.003443554130171833
month,-0.0031533723411598658,0.0031533723411598658
platform,0.0030714470277871443,0.0030714470277871443
sentiment_label,0.0,0.0
log_followers,0.0,-0.0
claim_type,0.0,0.0
verified_flag,0.0,0.0
region,0.0,0.0
year,0.0,0.0
language,0.0,0.0
subjectivity_score,0.0005882611753463607,-0.0005882611753463607
day,-0.0008202372445111905,-0.0008202372445111905
share_comment_ratio,0.0012906571715348037,-0.0012906571715348037
following_count,0.0028752337293212805,-0.0028752337293212805
is_share,-0.0033972784295201565,-0.0033972784295201565
like_rate,-0.027744655638605308,-0.027744655638605308
impressions_estimate,0.04388763745688493,-0.04388763745688493
reach_estimate,0.06015643470960867,-0.06015643470960867
source_type,0.08342062338329015,-0.08342062338329015
credibility_score,-0.0964474427243431,-0.0964474427243431
toxicity_subjectivity_interaction,0.09970900228504434,-0.09970900228504434
uncertainty_index,0.221671173191055,-0.221671173191055
account_age_days,0.25639928060660394,-0.25639928060660394
comments,0.41384427552336545,-0.41384427552336545
