feature,permutation_importance,directional_effect
risk_minus_credibility,0.3312784324531254,0.3312784324531254
uncertainty_index,0.01463164765770642,0.01463164765770642
follower_count,-2.5378203241460672e-05,2.5378203241460672e-05
reach_estimate,2.0921625936885096e-05,2.0921625936885096e-05
comment_rate,1.6904142729434052e-05,1.6904142729434052e-05
total_engagement,6.071097319323808e-06,6.071097319323808e-06
share_rate,3.7661629607199305e-06,3.7661629607199305e-06
stance_label,2.765277396778176e-06,2.765277396778176e-06
account_age_days,-1.954836155063609e-06,1.954836155063609e-06
subjectivity_score,1.9445470196149258e-06,1.9445470196149258e-06
comments,-1.788922181731982e-06,1.788922181731982e-06
following_count,1.4403159631640876e-06,1.4403159631640876e-06
topic,-1.2605576641726291e-06,1.2605576641726291e-06
is_share,-1.0622709131803687e-06,1.0622709131803687e-06
platform,-5.915277810093073e-08,5.915277810093073e-08
region,0.0,0.0
year,0.0,0.0
language,0.0,0.0
verified_flag,0.0,0.0
claim_type,6.737147025610152e-07,-6.737147025610152e-07
engagement_velocity,6.842991519052586e-07,-6.842991519052586e-07
follower_following_ratio,7.378214489329668e-07,-7.378214489329668e-07
reach_rate,7.684200942228991e-07,-7.684200942228991e-07
like_rate,1.0333976813978184e-06,-1.0333976813978184e-06
cascade_depth,-1.168464826440882e-06,-1.168464826440882e-06
toxicity_subjectivity_interaction,-1.298802588578507e-06,-1.298802588578507e-06
month,1.3299088499308178e-06,-1.3299088499308178e-06
toxicity_score,-1.7695812576608293e-06,-1.7695812576608293e-06
log_followers,2.001892684529508e-06,-2.001892684529508e-06
log_impressions,2.0993889644948387e-06,-2.0993889644948387e-06
source_type,-2.502211442382239e-06,-2.502211442382239e-06
likes,5.23294485070512e-06,-5.23294485070512e-06
impressions_estimate,-7.514600591757882e-06,-7.514600591757882e-06
sentiment_label,7.868656875606624e-06,-7.868656875606624e-06
day,9.142991983260816e-06,-9.142991983260816e-06
share_comment_ratio,-9.934096779659097e-06,-9.934096779659097e-06
audience_size,1.2310170502414195e-05,-1.2310170502414195e-05
shares,-1.4221211066032385e-05,-1.4221211066032385e-05
emotion,5.765254182460086e-05,-5.765254182460086e-05
crisis_phase,9.186148904242047e-05,-9.186148904242047e-05
sentiment_score,0.0001481574758907903,-0.0001481574758907903
credibility_score,0.14826335899269102,-0.14826335899269102
